,comment,Upgrade Policy,Upgrade Policy_explanation,Upgrade Policy_sentiment,Freq Flyer Program Value,Freq Flyer Program Value_explanation,Freq Flyer Program Value_sentiment,Extra Charges/Hidden Fees,Extra Charges/Hidden Fees_explanation,Extra Charges/Hidden Fees_sentiment
0,"Not Verified |  Charlotte to Acapulco. That particular flight was wonderful. However, we were given a flight voucher due to seating inconvenience, for $150 which is only good on a United airlines only. Even if booking through United Airlines website and the airline is operating under United Airlines you cannot use, so if you're flying out of the country it is useless.  Other than that I love United airlines we flown with them for several years on multiple trips. But I would like to make everyone aware that this voucher isn't all it's cracked up to be. Especially when most of your flying is international anyway. And they have also stopped doing a One-Stop flight from most places in the United States until the seasonal - which is generally November through Easter. So if your intentions are to fly to Mexico during any other time you will have to make two stops which is also very inconvenient.",False,"""""","Neutral (complaints about seating inconvenience and limited flight options, but also positive comments about United Airlines)",True,Flight voucher's limited usage and inconvenient stopovers during off-season,Negative,False,"""""","Neutral (complaints about seating inconvenience and flight voucher restrictions, but overall positive sentiment towards United Airlines)"
1,"✅ Verified Review | I travel frequently and United consistently lacks in quality compared to American, Southwest and Frontier. The customer service here needs serious improvement, for example today I asked a flight attendant if there was any room left in overhead compartments for my carry on (even though this is still 7 minutes or so until boarding ends and all of the compartments had been closed early) very kindly and politely and the response was completely rude and dismissive to my question she told me ""that can comfortably fit under your seat, in the most condescending offensive tone"" well I am a 5'10"" woman whose knees already touch the seat in front of me and would like to be able to enjoy my flight. She acted like it was too much to ask and so I then had to be uncomfortable unnecessarily on a flight that I paid for. So instead of arguing about it, as it was not worth my time and energy I then said forget it and then just bitterly deal with it the rest of the flight. I am very disappointed with the quality of this service, it's a Friday afternoon and the last thing anyone wants is to start their weekend feeling annoyed.",False,"The review is about customer service and lack of quality, not about the upgrade policy.",Negative,False,"Review focuses on customer service and carry-on storage, not the frequent flyer program value",Negative,False,"""""",Negative
2,"✅ Trip Verified |  Austin to Washington. Surprisingly all of their flights getting delayed or cancelled, by more than 4 hours and no options provided other than waiting. Worst experience. Never book United if you are for business or time sensitive travel",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
3,"✅ Trip Verified |  I grew up when airline travel was far more sophisticated and enjoyable, not to mention affordable. Unfortunately, united is now on the do not fly list that I created today. I am newly married, and on both legs of our trip, even though I booked the airline tickets at the same time, my wife and I had to sit in separate rows. apparently, their policy is that unless you pay to buy your tickets, the computer will just put you wherever it can even though you’re married and flying together. This is such a ridiculous policy and one that has cost them two new customers. The lady in Denver at the United counter was so rude to us when we asked her if she could accommodate placing us together. She looked at my wife and said well it’s a short flight and you’re only one row apart and I think you can handle it.",True,"Airline's policy resulted in the writer and their spouse being seated separately, despite booking tickets together, and encountered rude customer service.",Negative,False,"""""",Negative (regarding United's seating policy and customer service),False,"""""","Negative, related to seating policy and customer service experience"
4,"UA1541 (Tegucigalpa - Houston, 737 / Boeing 737-700), UA1699 (Houston - San Francisco, 789 / Boeing 787-900), and UA1 (San Francisco - Singapore, 789) on 17 Jun 2016. First, UA1541. Surprised to see that there was a personal screen, but it was with DirecTV and pre-recorded movies, and not available free of charge. However, in the end movies were made available free of charge, presumably due to slight delays on the ground at the start of the flight. Snacks (a small pack of zesty snack mix) and drinks were served, but you could buy meals (e.g. sandwiches, pasta, salad) if you wish. I bought a wrap, which was reasonable (a tad pricey, but I could live with it). I had wanted the sandwich but it was out of stock. Next, UA1699. In-flight entertainment was miles ahead since it was newer, though I notice the selection was less compared to my next sector which was a 16-hour international flight. Food was available for purchase, though the usual snacks and drinks were available free-of-charge. I did not buy anything, and survived on a zesty snack pack with Sprite. My seat was supposed to be window seat, but the window was misaligned so I had to lean forward to gaze outside. It was great to have no one sitting next to me in the middle, which enhanced the amount of space available considering that the Dreamliner in 3-3-3 seating is known to be rather cramped. Finally, UA1, newly launched earlier this month. I had expected it to be very painful to fly 16 hours on a cramped 787. It turned out to be uncomfortable but still bearable. Managed to get some light sleep, managed to be sufficiently entertained too. What failed me was the food. The first meal (dinner), I made the wrong choice and had a (vegetarian, but you dont know until you get it) pasta with just spinach, cheese and tomato sauce. Salad was as usual horrible. Luckily the ice-cream saved the day. In between I missed the turkey ham roll as I was asleep, but it was available at the back of the plane for self-service. That was helpful to stave off hunger pangs. The second meal (breakfast) was literally the worst in-flight meal I ever had. I did not have a choice as they had run out of the eggs, so there was only a (vegetarian again) noodle in some funky weird black sauce, with weird tasting mushroom, edamame (horrible again) and red pepper. Absolute disaster, so bad that my neighbour and I did not finish the food. Without the bun and butter I would have starved. Seat comfort-wise, legroom and width was okay though my friend who was a bit bigger sized and seated at the aisle could feel a significant narrower seat width compared to the other flights - his shoulders were up against the neighbour in the middle seat. Overall, service and food on board seemed to be not as good as my outbound flights from NRT to SAL via IAH, though the in-flight entertainment was better on the newer Dreamliner.",True,"Describes experiences with three different flights, mentioning issues with in-flight entertainment, food quality, and seat comfort.",Negative (complains about various aspects of the flights),True,"Describes experiences with UA1541, UA1699, and UA1 flights including in-flight entertainment, food, and seating",Neutral (complaints are balanced with positive experiences),True,"Describes experiences with three different United Airlines flights, mentioning issues with in-flight entertainment, seating, and food.",Negative (complains about various problems during flights)
5,"✅ Trip Verified |  My worse experience by far. Travelling for 3 days from Germany - Munchen to El Paso Texas. I lost all the connections due to delays, I arrived at my destination with both check in luggage lost. United team from El Paso was promising me that my luggage is located and I will have my luggage before Christmas. they never offer me with any voucher as I arrived with zero clothes and personal items to my final destination. It was before Christmas. I needed to go every second day to airport to check if my luggage was found because on the phone that they gave me they never answered. United team told me that my expenses (for my survival days in my vacation)will be reimbursed and Until today I did not receive any money. I spend a lot of money, lost my luggage and they offered me zero support. One of my luggage ( 10kg) was found after 10 days but the big one (23kg) was never found. And I called so many times, filled claims and I received zero compensation from United. Every time I am calling them they give me a different story of my claim.",False,"""""",Negative,False,"Review is about lost luggage and customer service, not about the value of the frequent flyer program",Negative,False,"""""","Negative, as the review discusses poor service, lost luggage, and no compensation from United."
6,"Not Verified |  
Absolutely horrible experience. First time flying United Airlines and definitely the last, we payed extra to fly out for a funeral, first class for the elderly family members to be comfortable in flight. We waited all day on the plane for them to finally to cancel the flight on us, if we had known we would have scheduled another flight out. They re-routed us, dropped the first class off entirely.",True,"Paid for first class, flight was canceled and upgrade was lost",Negative,False,"""""",Negative,False,"""""",Negative (regarding overall experience with United Airlines)
7,"Not Verified |  Sydney to Houston. I had the longest flight I've taken and I had a wonderful time. The crew were so pleasant and nice and the food was tasty. The seats were comfortable and the entertainment selections were awesome. What's more is that they were able to get my husband on the same itinerary as me when, originally, he was not on my flight because we booked his flight with points. All we had to pay was a $75 change fee. It made the flight home so much better. They even were able to get us seats next to each other! I've flown United for a while and they have always been very accommodating and I want to give my sincerest thanks for a wonderful trip.",False,"""""",Positive,False,"""""",Positive,False,"""""",Positive
8,"✅ Trip Verified |  The customer service at the Chicago airport is awful. First off, the fact that they were extremely rude to everybody who missed their flight because of mechanical issues was unprofessional. Second, when we asked for further accommodations they refused to do so. Our next flight is 20 hours later and that is the only one to Sioux City. When we asked the manager about further accommodations, she was incredibly rude to us. She kept saying “the hotel wasn’t free for us, so that is our accommodations.”. What are we supposed to do with our bags for 8 hours after we check out of our hotel? Lastly, I will never fly with United again. There are many other airlines that are just as cheap and have a much better experience.",False,"""""",Negative,False,"""""",Negative,False,"""""","Negative (regarding overall experience with United, but not about extra charges or hidden fees)"
9,"✅ Verified Review |  Flew Orlando to Calgary via Denver. I've been to more than 25 countries, flying with many different airlines over the world and United Airlines is for sure the worst one I have ever been with. In 5 days a flight was cancelled, our bags got lost, other flight was late, making me lose a connection flight and making me stay one night in the connection city. They didn't even want to give us a hotel voucher because it ""was not their fault"". Most of the company workers treat customers horribly with bad manners and being rude, with some rare exceptions. The workers are never there to help you. When you ask for their help for ticketing or luggage issues they simply say: ""There is nothing we can do"". United Airlines managed to mess up me and my family's vacation in a few days. So my recommendation: Never fly with this horrible airline. Oh, and a small detail: mine and my whole family's tickets were for Business Class, and you still receive that poor kind of treatment. And when they change our flights, they put us on economy class. Such a joke.",True,Review mentions flights originally booked in business class were changed to economy class.,Negative,False,"Review focuses on flight cancellations, lost luggage, and poor customer service, not the value of the frequent flyer program.",Negative,False,"""""","Negative (for the category of ""Airline Service Experience"")"
